run,group,paper,unit,default_100,repro_100,viability_pass
no_rulepack,nat_siblings,s41592-021-01391-1,unit_001,67,21,True
no_rulepack,nat_siblings,s41592-021-01391-1,unit_007,50,17,True
no_rulepack,nat_siblings,s41592-021-01391-1,unit_006,50,31,True
no_rulepack,nat_siblings,s41592-021-01391-1,unit_002,50,23,True
no_rulepack,nat_siblings,s41592-021-01391-1,unit_004,58,13,True
no_rulepack,nat_siblings,s41592-021-01391-1,unit_003,83,8,True
no_rulepack,nat_siblings,s41592-021-01391-1,unit_005,83,8,True
no_rulepack,nat_siblings,s41592-021-01391-1,unit_008,50,22,True
no_rulepack,nat_siblings,s41586-021-03209-8,unit_001,67,27,True
no_rulepack,nat_siblings,s41586-021-03209-8,unit_007,67,24,True
no_rulepack,nat_siblings,s41586-021-03209-8,unit_006,83,8,True
no_rulepack,nat_siblings,s41586-021-03209-8,unit_002,50,32,True
no_rulepack,nat_siblings,s41586-021-03209-8,unit_004,58,12,True
no_rulepack,nat_siblings,s41586-021-03209-8,unit_005,51,29,True
no_rulepack,nat_siblings,s41586-021-03209-8,unit_008,58,31,True
no_rulepack,nat_siblings,s41587-023-01718-7,unit_009,83,8,True
no_rulepack,nat_siblings,s41587-023-01718-7,unit_001,83,8,True
no_rulepack,nat_siblings,s41587-023-01718-7,unit_007,83,8,True
no_rulepack,nat_siblings,s41587-023-01718-7,unit_006,83,8,True
no_rulepack,nat_siblings,s41587-023-01718-7,unit_002,42,17,True
no_rulepack,nat_siblings,s41587-023-01718-7,unit_010,83,8,True
no_rulepack,nat_siblings,s41587-023-01718-7,unit_003,83,8,True
no_rulepack,nat_siblings,s41587-023-01718-7,unit_005,83,8,True
no_rulepack,nat_siblings,s41587-023-01718-7,unit_008,83,8,True
no_rulepack,nat_siblings,s41592-025-02927-5,unit_001,50,27,True
no_rulepack,nat_siblings,s41592-025-02927-5,unit_007,50,18,True
no_rulepack,nat_siblings,s41592-025-02927-5,unit_006,83,8,True
no_rulepack,nat_siblings,s41592-025-02927-5,unit_002,58,8,True
no_rulepack,nat_siblings,s41592-025-02927-5,unit_004,75,15,True
no_rulepack,nat_siblings,s41592-025-02927-5,unit_005,75,28,True
no_rulepack,nat_siblings,s41592-025-02927-5,unit_008,83,8,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_009,39,22,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_001,50,28,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_007,67,17,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_006,58,28,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_002,75,14,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_010,67,24,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_004,58,21,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_003,75,28,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_005,58,18,True
no_rulepack,nat_siblings,s41586-019-1654-9,unit_008,50,21,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_009,83,8,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_001,83,8,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_007,75,8,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_006,75,8,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_002,83,8,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_010,58,8,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_004,75,8,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_003,83,8,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_005,75,8,True
no_rulepack,nat_siblings,s41586-024-08172-8,unit_008,83,8,True
no_rulepack,nat_siblings,s41467-020-19142-9,unit_009,51,31,True
no_rulepack,nat_siblings,s41467-020-19142-9,unit_001,83,8,True
no_rulepack,nat_siblings,s41467-020-19142-9,unit_007,42,28,True
no_rulepack,nat_siblings,s41467-020-19142-9,unit_006,76,12,True
no_rulepack,nat_siblings,s41467-020-19142-9,unit_002,38,22,True
no_rulepack,nat_siblings,s41467-020-19142-9,unit_004,51,28,True
no_rulepack,nat_siblings,s41467-020-19142-9,unit_003,42,21,True
no_rulepack,nat_siblings,s41467-020-19142-9,unit_005,42,29,True
no_rulepack,nat_siblings,s41467-020-19142-9,unit_008,61,22,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_009,83,8,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_001,67,34,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_007,83,8,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_006,42,21,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_002,58,17,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_010,83,8,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_004,75,15,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_003,83,8,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_005,83,8,True
no_rulepack,nat_siblings,s41591-024-02807-z,unit_008,83,8,True
no_rulepack,nat_siblings,s41467-024-55567-2,unit_009,58,31,True
no_rulepack,nat_siblings,s41467-024-55567-2,unit_001,33,24,True
no_rulepack,nat_siblings,s41467-024-55567-2,unit_006,57,28,True
no_rulepack,nat_siblings,s41467-024-55567-2,unit_002,37,20,True
no_rulepack,nat_siblings,s41467-024-55567-2,unit_010,61,24,True
no_rulepack,nat_siblings,s41467-024-55567-2,unit_004,50,28,True
no_rulepack,nat_siblings,s41467-024-55567-2,unit_003,63,12,True
no_rulepack,nat_siblings,s41467-024-55567-2,unit_008,42,28,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_009,42,21,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_001,83,8,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_007,83,8,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_006,83,8,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_002,58,8,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_010,83,8,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_004,83,8,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_003,67,21,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_005,83,8,True
no_rulepack,nat_siblings,s41587-023-01747-2,unit_008,83,8,True
no_rulepack,nat_siblings,s41593-021-00923-4,unit_009,58,34,True
no_rulepack,nat_siblings,s41593-021-00923-4,unit_001,60,29,True
no_rulepack,nat_siblings,s41593-021-00923-4,unit_007,51,25,True
no_rulepack,nat_siblings,s41593-021-00923-4,unit_006,70,41,True
no_rulepack,nat_siblings,s41593-021-00923-4,unit_002,83,8,True
no_rulepack,nat_siblings,s41593-021-00923-4,unit_010,67,34,True
no_rulepack,nat_siblings,s41593-021-00923-4,unit_004,46,27,True
no_rulepack,nat_siblings,s41593-021-00923-4,unit_003,63,20,True
no_rulepack,nat_siblings,s41593-021-00923-4,unit_005,67,24,True
no_rulepack,nat_siblings,s41593-021-00923-4,unit_008,58,11,True
no_rulepack,nat_siblings,s41467-021-27464-5,unit_009,67,24,True
no_rulepack,nat_siblings,s41467-021-27464-5,unit_001,76,18,True
no_rulepack,nat_siblings,s41467-021-27464-5,unit_007,67,23,True
no_rulepack,nat_siblings,s41467-021-27464-5,unit_006,50,26,True
no_rulepack,nat_siblings,s41467-021-27464-5,unit_002,60,39,True
no_rulepack,nat_siblings,s41467-021-27464-5,unit_004,46,32,True
no_rulepack,nat_siblings,s41467-021-27464-5,unit_003,61,33,True
no_rulepack,nat_siblings,s41467-021-27464-5,unit_005,75,24,True
no_rulepack,nat_siblings,s41586-023-06473-y,unit_001,50,31,True
no_rulepack,nat_siblings,s41586-023-06473-y,unit_007,58,16,True
no_rulepack,nat_siblings,s41586-023-06473-y,unit_006,75,8,True
no_rulepack,nat_siblings,s41586-023-06473-y,unit_002,28,26,True
no_rulepack,nat_siblings,s41586-023-06473-y,unit_004,83,8,True
no_rulepack,nat_siblings,s41586-023-06473-y,unit_003,61,24,True
no_rulepack,nat_siblings,s41586-023-06473-y,unit_005,58,21,True
no_rulepack,nat_siblings,s41586-023-06473-y,unit_008,83,8,True
no_rulepack,nat_siblings,s41586-018-0024-3,unit_009,83,8,True
no_rulepack,nat_siblings,s41586-018-0024-3,unit_001,58,31,True
no_rulepack,nat_siblings,s41586-018-0024-3,unit_007,58,12,True
no_rulepack,nat_siblings,s41586-018-0024-3,unit_006,77,18,True
no_rulepack,nat_siblings,s41586-018-0024-3,unit_002,51,32,True
no_rulepack,nat_siblings,s41586-018-0024-3,unit_010,75,8,True
no_rulepack,nat_siblings,s41586-018-0024-3,unit_004,50,22,True
no_rulepack,nat_siblings,s41586-018-0024-3,unit_003,60,21,True
no_rulepack,nat_siblings,s41586-018-0024-3,unit_005,56,26,True
no_rulepack,nat_siblings,s41586-018-0024-3,unit_008,83,8,True
no_rulepack,nat_siblings,s41588-021-00972-2,unit_009,83,8,True
no_rulepack,nat_siblings,s41588-021-00972-2,unit_001,83,8,True
no_rulepack,nat_siblings,s41588-021-00972-2,unit_007,58,17,True
no_rulepack,nat_siblings,s41588-021-00972-2,unit_006,83,8,True
no_rulepack,nat_siblings,s41588-021-00972-2,unit_002,83,8,True
no_rulepack,nat_siblings,s41588-021-00972-2,unit_010,83,8,True
no_rulepack,nat_siblings,s41588-021-00972-2,unit_004,42,17,True
no_rulepack,nat_siblings,s41588-021-00972-2,unit_003,58,15,True
no_rulepack,nat_siblings,s41588-021-00972-2,unit_005,83,8,True
no_rulepack,nat_siblings,s41588-021-00972-2,unit_008,83,8,True
no_rulepack,nat_siblings,s41592-024-02555-5,unit_009,83,8,True
no_rulepack,nat_siblings,s41592-024-02555-5,unit_001,58,13,True
no_rulepack,nat_siblings,s41592-024-02555-5,unit_007,83,8,True
no_rulepack,nat_siblings,s41592-024-02555-5,unit_006,83,8,True
no_rulepack,nat_siblings,s41592-024-02555-5,unit_002,75,25,True
no_rulepack,nat_siblings,s41592-024-02555-5,unit_010,83,8,True
no_rulepack,nat_siblings,s41592-024-02555-5,unit_004,83,8,True
no_rulepack,nat_siblings,s41592-024-02555-5,unit_003,83,8,True
no_rulepack,nat_siblings,s41592-024-02555-5,unit_005,83,8,True
no_rulepack,nat_siblings,s41592-024-02555-5,unit_008,83,8,True
no_rulepack,nat_siblings,s41467-025-68247-6,unit_009,46,20,True
no_rulepack,nat_siblings,s41467-025-68247-6,unit_001,67,31,True
no_rulepack,nat_siblings,s41467-025-68247-6,unit_007,52,27,True
no_rulepack,nat_siblings,s41467-025-68247-6,unit_002,50,31,True
no_rulepack,nat_siblings,s41467-025-68247-6,unit_010,70,20,True
no_rulepack,nat_siblings,s41467-025-68247-6,unit_004,42,29,True
no_rulepack,nat_siblings,s41467-025-68247-6,unit_003,58,13,True
no_rulepack,nat_siblings,s41467-025-68247-6,unit_005,52,23,True
no_rulepack,nat_siblings,s41467-025-68247-6,unit_008,50,31,True
no_rulepack,nat_siblings,s41592-021-01344-8,unit_009,50,27,True
no_rulepack,nat_siblings,s41592-021-01344-8,unit_001,50,22,True
no_rulepack,nat_siblings,s41592-021-01344-8,unit_007,56,23,True
no_rulepack,nat_siblings,s41592-021-01344-8,unit_006,50,19,True
no_rulepack,nat_siblings,s41592-021-01344-8,unit_002,58,21,True
no_rulepack,nat_siblings,s41592-021-01344-8,unit_010,42,22,True
no_rulepack,nat_siblings,s41592-021-01344-8,unit_004,83,8,True
no_rulepack,nat_siblings,s41592-021-01344-8,unit_003,83,8,True
no_rulepack,nat_siblings,s41592-021-01344-8,unit_005,67,24,True
no_rulepack,nat_siblings,s41592-021-01344-8,unit_008,58,13,True
no_rulepack,nat_siblings,s41588-025-02182-6,unit_009,83,8,True
no_rulepack,nat_siblings,s41588-025-02182-6,unit_001,83,8,True
no_rulepack,nat_siblings,s41588-025-02182-6,unit_007,50,25,True
no_rulepack,nat_siblings,s41588-025-02182-6,unit_006,83,8,True
no_rulepack,nat_siblings,s41588-025-02182-6,unit_002,83,8,True
no_rulepack,nat_siblings,s41588-025-02182-6,unit_010,83,8,True
no_rulepack,nat_siblings,s41588-025-02182-6,unit_004,46,29,True
no_rulepack,nat_siblings,s41588-025-02182-6,unit_003,83,8,True
no_rulepack,nat_siblings,s41588-025-02182-6,unit_005,75,13,True
no_rulepack,nat_siblings,s41588-025-02182-6,unit_008,83,8,True
no_rulepack,nat_siblings,s41586-023-06564-w,unit_009,55,32,True
no_rulepack,nat_siblings,s41586-023-06564-w,unit_001,58,21,True
no_rulepack,nat_siblings,s41586-023-06564-w,unit_007,75,34,True
no_rulepack,nat_siblings,s41586-023-06564-w,unit_006,50,20,True
no_rulepack,nat_siblings,s41586-023-06564-w,unit_002,58,28,True
no_rulepack,nat_siblings,s41586-023-06564-w,unit_010,52,32,True
no_rulepack,nat_siblings,s41586-023-06564-w,unit_004,60,28,True
no_rulepack,nat_siblings,s41586-023-06564-w,unit_003,50,28,True
no_rulepack,nat_siblings,s41586-023-06564-w,unit_005,52,22,True
no_rulepack,nat_siblings,s41586-023-06564-w,unit_008,83,8,True
no_rulepack,nat_protocols,s41596-023-00929-1,unit_009,50,22,True
no_rulepack,nat_protocols,s41596-023-00929-1,unit_001,44,29,True
no_rulepack,nat_protocols,s41596-023-00929-1,unit_007,50,27,True
no_rulepack,nat_protocols,s41596-023-00929-1,unit_006,58,31,True
no_rulepack,nat_protocols,s41596-023-00929-1,unit_002,67,27,True
no_rulepack,nat_protocols,s41596-023-00929-1,unit_010,50,31,True
no_rulepack,nat_protocols,s41596-023-00929-1,unit_004,58,27,True
no_rulepack,nat_protocols,s41596-023-00929-1,unit_003,61,27,True
no_rulepack,nat_protocols,s41596-023-00929-1,unit_005,38,30,True
no_rulepack,nat_protocols,s41596-023-00929-1,unit_008,58,18,True
no_rulepack,nat_protocols,s41596-023-00814-x,unit_009,42,23,True
no_rulepack,nat_protocols,s41596-023-00814-x,unit_001,67,23,True
no_rulepack,nat_protocols,s41596-023-00814-x,unit_007,50,30,True
no_rulepack,nat_protocols,s41596-023-00814-x,unit_006,67,24,True
no_rulepack,nat_protocols,s41596-023-00814-x,unit_002,50,27,True
no_rulepack,nat_protocols,s41596-023-00814-x,unit_010,50,31,True
no_rulepack,nat_protocols,s41596-023-00814-x,unit_004,50,31,True
no_rulepack,nat_protocols,s41596-023-00814-x,unit_003,58,34,True
no_rulepack,nat_protocols,s41596-023-00814-x,unit_005,50,31,True
no_rulepack,nat_protocols,s41596-023-00814-x,unit_008,42,19,True
no_rulepack,nat_protocols,s41596-021-00603-4,unit_009,58,23,True
no_rulepack,nat_protocols,s41596-021-00603-4,unit_001,58,31,True
no_rulepack,nat_protocols,s41596-021-00603-4,unit_007,75,23,True
no_rulepack,nat_protocols,s41596-021-00603-4,unit_006,50,20,True
no_rulepack,nat_protocols,s41596-021-00603-4,unit_002,50,23,True
no_rulepack,nat_protocols,s41596-021-00603-4,unit_010,75,28,True
no_rulepack,nat_protocols,s41596-021-00603-4,unit_004,67,34,True
no_rulepack,nat_protocols,s41596-021-00603-4,unit_003,42,29,True
no_rulepack,nat_protocols,s41596-021-00603-4,unit_005,67,32,True
no_rulepack,nat_protocols,s41596-021-00603-4,unit_008,50,28,True
no_rulepack,nat_protocols,s41596-020-0379-4,unit_009,43,30,True
no_rulepack,nat_protocols,s41596-020-0379-4,unit_001,44,26,True
no_rulepack,nat_protocols,s41596-020-0379-4,unit_007,67,21,True
no_rulepack,nat_protocols,s41596-020-0379-4,unit_006,67,20,True
no_rulepack,nat_protocols,s41596-020-0379-4,unit_010,58,34,True
no_rulepack,nat_protocols,s41596-020-0379-4,unit_004,58,27,True
no_rulepack,nat_protocols,s41596-020-0379-4,unit_003,58,18,True
no_rulepack,nat_protocols,s41596-020-0379-4,unit_005,58,34,True
no_rulepack,nat_protocols,s41596-020-0379-4,unit_008,50,32,True
no_rulepack,nat_protocols,s41596-025-01197-x,unit_009,58,34,True
no_rulepack,nat_protocols,s41596-025-01197-x,unit_001,58,28,True
no_rulepack,nat_protocols,s41596-025-01197-x,unit_007,61,32,True
no_rulepack,nat_protocols,s41596-025-01197-x,unit_006,42,19,True
no_rulepack,nat_protocols,s41596-025-01197-x,unit_002,57,28,True
no_rulepack,nat_protocols,s41596-025-01197-x,unit_010,46,30,True
no_rulepack,nat_protocols,s41596-025-01197-x,unit_005,44,26,True
no_rulepack,nat_protocols,s41596-025-01197-x,unit_008,42,24,True
no_rulepack,nat_protocols,s41596-021-00629-8,unit_009,50,31,True
no_rulepack,nat_protocols,s41596-021-00629-8,unit_001,50,19,True
no_rulepack,nat_protocols,s41596-021-00629-8,unit_007,58,34,True
no_rulepack,nat_protocols,s41596-021-00629-8,unit_006,58,34,True
no_rulepack,nat_protocols,s41596-021-00629-8,unit_002,50,27,True
no_rulepack,nat_protocols,s41596-021-00629-8,unit_010,67,34,True
no_rulepack,nat_protocols,s41596-021-00629-8,unit_004,50,31,True
no_rulepack,nat_protocols,s41596-019-0213-z,unit_009,50,18,True
no_rulepack,nat_protocols,s41596-019-0213-z,unit_001,58,31,True
no_rulepack,nat_protocols,s41596-019-0213-z,unit_007,58,31,True
no_rulepack,nat_protocols,s41596-019-0213-z,unit_006,83,8,True
no_rulepack,nat_protocols,s41596-019-0213-z,unit_002,75,11,True
no_rulepack,nat_protocols,s41596-019-0213-z,unit_004,83,8,True
no_rulepack,nat_protocols,s41596-019-0213-z,unit_003,75,11,True
no_rulepack,nat_protocols,s41596-019-0213-z,unit_005,83,8,True
no_rulepack,nat_protocols,s41596-019-0213-z,unit_008,50,31,True
no_rulepack,nat_protocols,s41596-025-01299-6,unit_009,50,25,True
no_rulepack,nat_protocols,s41596-025-01299-6,unit_001,48,24,True
no_rulepack,nat_protocols,s41596-025-01299-6,unit_007,83,8,True
no_rulepack,nat_protocols,s41596-025-01299-6,unit_002,50,31,True
no_rulepack,nat_protocols,s41596-025-01299-6,unit_004,44,31,True
no_rulepack,nat_protocols,s41596-025-01299-6,unit_005,44,20,True
no_rulepack,nat_protocols,s41596-025-01299-6,unit_008,50,24,True
no_rulepack,nat_protocols,s41596-023-00880-1,unit_009,58,18,True
no_rulepack,nat_protocols,s41596-023-00880-1,unit_007,75,15,True
no_rulepack,nat_protocols,s41596-023-00880-1,unit_006,50,31,True
no_rulepack,nat_protocols,s41596-023-00880-1,unit_002,58,31,True
no_rulepack,nat_protocols,s41596-023-00880-1,unit_010,67,15,True
no_rulepack,nat_protocols,s41596-023-00880-1,unit_004,75,23,True
no_rulepack,nat_protocols,s41596-023-00880-1,unit_005,67,17,True
no_rulepack,nat_protocols,s41596-023-00880-1,unit_008,50,23,True
with_rulepack,nat_siblings,s41592-021-01391-1,unit_001,67,21,True
with_rulepack,nat_siblings,s41592-021-01391-1,unit_007,50,17,True
with_rulepack,nat_siblings,s41592-021-01391-1,unit_006,50,31,True
